name,platform,release_date,meta_score,user_review
Indivisible, PlayStation 4,2019,77,68
SpellForce 3: Fallen God, PC,2020,77,76
Super Cane Magic ZERO, PlayStation 4,2019,77,52
Dodgeball Academia, PC,2021,77,85
Plants vs. Zombies: Battle for Neighborville, PC,2019,77,47
Blasphemous, PC,2019,77,65
Solasta: Crown of the Magister, PC,2021,77,74
Fae Tactics, PC,2020,77,51
Space Junkies, PC,2019,77,50
Pacer, PlayStation 4,2020,77,56
Yakuza 3 Remastered, PlayStation 4,2020,77,72
Still There, PC,2019,77,80
Darksiders Genesis, PC,2019,77,76
SUPERHOT: MIND CONTROL DELETE, PlayStation 4,2020,77,65
Deliver Us The Moon, PlayStation 4,2020,77,66
Unbound: Worlds Apart, PC,2021,77,78
Olija, PC,2021,77,61
Let's Sing Queen, PlayStation 4,2020,77,#¡VALOR!
Signs of the Sojourner, PC,2020,77,76
A Fold Apart, PC,2020,77,78
FORM, PlayStation 4,2020,77,53
Genesis Noir, PC,2021,77,64
XCOM: Chimera Squad, PC,2020,77,47
Timelie, PC,2020,77,64
Before Your Eyes, PC,2021,77,86
Resident Evil 3, PC,2020,77,58
Disney Classic Games: Aladdin and the Lion King, PlayStation 4,2019,77,50
NHL 20, PlayStation 4,2019,77,37
Little Big Workshop, PC,2019,77,73
Remnant: From the Ashes, PlayStation 4,2019,77,70
Twelve Minutes, PC,2021,77,61
Assetto Corsa Competizione, PC,2019,77,71
Nioh 2: The Tengu's Disciple, PlayStation 4,2020,77,80
Borderlands 3: Bounty of Blood, PC,2020,77,56
Sable, PC,2021,77,76
Hotshot Racing, PlayStation 4,2020,77,62
SaGa Frontier Remastered, PlayStation 4,2021,77,66
Darksiders Genesis, PlayStation 4,2020,77,73
The Pathless, PlayStation 4,2020,77,75
Star Renegades, PC,2020,77,59
When The Past Was Around, PC,2020,77,81
Control: The Foundation, PC,2020,77,61
Tormented Souls, PC,2021,76,75
Bonkies, PlayStation 4,2021,76,#¡VALOR!
Unto The End, PlayStation 4,2020,76,50
MotoGP 19, PlayStation 4,2019,76,77
Pode, PlayStation 4,2019,76,43
The Big Con, PC,2021,76,58
MotoGP 20, PlayStation 4,2020,76,73
Trials of Mana, PlayStation 4,2020,76,75
Samurai Shodown, PC,2020,76,61
DOOM Eternal: The Ancient Gods Part One, PlayStation 4,2020,76,66
Call of Duty: Black Ops Cold War, PC,2020,76,31
Roki, PC,2020,76,78
PGA Tour 2K21, PlayStation 4,2020,76,63
Inmost, PC,2020,76,83
ScourgeBringer, PC,2020,76,62
Airborne Kingdom, PC,2020,76,72
Severed Steel, PC,2021,76,58
Ghostrunner, PlayStation 4,2020,76,73
Green Hell, PlayStation 4,2021,76,82
Operencia: The Stolen Sun, PC,2019,76,62
Imperator: Rome, PC,2019,76,49
Tropico 6, PlayStation 4,2019,76,70
